  Cps/Mbq 161.763   65.991         
  2 b01   b02 b03 b04 b05   b10 b11 b12 b13
 1 2 2.889  1 0.164 0.5405 0.2006 0.0167  1 0.1102 1.332 0.525 0
 2 4 3.32  2 0.06394 0.6187 0.2564 0.003737  2 0.1117 1.533 0.7329 0
 3 6 3.391  3 0.03738 0.5871 0.2295 0.008169  3 0.1054 1.733 0.6907 0
 4 8 3.335  4 0.03117 0.6944 0.2134 0.05024  4 0.09463 1.637 0.6143 0
 5 10 3.229  5 0.02281 0.6964 0.221 0.01066  5 0.0856 1.64 0.5534 0
 6 12 3.199  6 0.01839 0.5943 0.2267 0.03545  6 0.08003 1.667 0.5773 0
 7 14 3.547  7 0.01554 0.6853 0.2932 0.04548  7 0.06959 1.755 0.6827 0
 8 16 3.299  8 0.0153 0.7348 0.1931 0.02479  8 0.06094 1.51 0.7601 0
 9 18 3.447  9 0.008584 0.6947 0.2762 0.03348  9 0.05466 1.735 0.6439 0
 10 20 3.068  10 0.06213 0.6222 0.2404 0.0181  10 0.04564 1.507 0.5721 0
 11 22 4.156  11 0.8674 0.7939 0.3206 0.01143  11 0.04301 1.484 0.6356 0
 12 24 9.344  12 6.01 0.6296 0.368 0.0003022  12 0.03884 1.743 0.5532 0
 13 26 20.86  13 17.31 0.7741 0.4781 0.0008035  13 0.03045 1.637 0.6321 0
 14 28 25.68  14 21.98 0.8542 0.5666 0.002983  14 0.02735 1.711 0.5356 0
 15 30 17.69  15 13.98 0.8242 0.4325 0.006131  15 0.02057 1.701 0.7242 0
 16 32 9.751  16 6.505 0.5911 0.3533 0.01456  16 0.02096 1.538 0.7284 0
 17 34 5.547  17 2.469 0.6219 0.2664 0.05021  17 0.01562 1.469 0.6551 0
 18 36 3.61  18 0.5897 0.684 0.2495 0.049  18 0.01506 1.449 0.574 0
 19 38 3.351  19 0.08336 0.6358 0.282 0.1838  19 0.01371 1.5 0.6525 0
 20 40 3.295  20 0.03101 0.6324 0.2465 0.2804  20 0.01356 1.579 0.5112 0
 21 42 3.626  21 0.04398 0.5795 0.215 0.5868  21 0.01389 1.571 0.6163 0
 22 44 3.7  22 0.06498 0.6731 0.2684 0.7783  22 0.01454 1.442 0.4588 0
 23 46 3.926  23 0.07898 0.6424 0.2708 0.7575  23 0.01614 1.632 0.5276 0
 24 48 3.935  24 0.09129 0.6755 0.2857 0.6377  24 0.01721 1.567 0.6607 0
 25 50 3.687  25 0.1207 0.5183 0.3033 0.3978  25 0.02304 1.77 0.554 0
 26 52 3.785  26 0.1391 0.6137 0.2567 0.2773  26 0.03411 1.816 0.6482 0
 27 54 3.83  27 0.1479 0.5861 0.2865 0.2103  27 0.03678 1.854 0.7082 0
 28 56 4.158  28 0.1738 0.5901 0.3093 0.3598  28 0.04307 1.926 0.7563 0
 29 58 3.707  29 0.1516 0.576 0.2962 0.3532  29 0.051 1.652 0.627 0
 30 60 4.324  30 0.1273 0.6479 0.3361 0.1909  30 0.05166 2.08 0.8902 0
 31 62 4.157  31 0.08075 0.6171 0.3015 0.2899  31 0.06533 2.07 0.733 0
 32 64 4.685  32 0.05154 0.592 0.2515 0.5014  32 0.06861 2.407 0.8127 0
 33 66 5.228  33 0.02287 0.5638 0.2733 1.175  33 0.07331 2.372 0.7475 0
 34 68 6.275  34 0.01037 0.5537 0.242 2.293  34 0.07149 2.256 0.8478 0
 35 70 7.894  35 0.009409 0.5502 0.223 3.722  35 0.08006 2.541 0.7681 0.0004579
 36 72 9.55  36 0.004839 0.5206 0.2663 5.359  36 0.07992 2.496 0.8237 0
 37 74 10.54  37 0.0056 0.5073 0.1825 6.13  37 0.08351 2.657 0.9734 0
 38 76 10.04  38 0.003629 0.5424 0.2362 5.861  38 0.08722 2.484 0.8272 0
 39 78 9.17  39 0.004282 0.5446 0.2173 4.613  39 0.09439 2.694 1.003 0
 40 80 7.785  40 0.004783 0.5035 0.1962 3.554  40 0.09886 2.589 0.8383 0
 41 82 7.571  41 0.006094 0.4483 0.2587 3.063  41 0.103 2.635 1.057 0
 42 84 7.522  42 0.005599 0.5578 0.2296 2.918  42 0.1086 2.763 0.9391 0
 43 86 7.493  43 0.006015 0.5361 0.2379 3.02  43 0.116 2.653 0.9237 0
 44 88 6.708  44 0.006823 0.4769 0.2125 2.188  44 0.1299 2.757 0.9372 0
 45 90 6.548  45 0.01081 0.575 0.2295 1.603  45 0.1574 2.89 1.082 0
 46 92 5.667  46 0.009907 0.5139 0.219 0.7654  46 0.1796 2.873 1.106 0
 47 94 5.65  47 0.008397 0.5764 0.2656 0.4934  47 0.2119 3.101 0.9939 0
 48 96 4.713  48 0.01044 0.4042 0.2099 0.1744  48 0.2501 2.783 0.8809 0
 49 98 4.711  49 0.009962 0.4658 0.1899 0.03254  49 0.2879 2.776 0.9493 0
 50 100 4.879  50 0.008336 0.5883 0.3215 0.01187  50 0.327 2.657 0.9658 0
 51 102 5.107  51 0.007832 0.4439 0.225 0.007374  51 0.3286 3.008 1.086 0
 52 104 4.77  52 0.009319 0.3499 0.2198 0  52 0.3139 2.92 0.9571 0
 53 106 4.9  53 0.008857 0.4693 0.2377 0  53 0.3048 2.883 0.9959 0
 54 108 4.607  54 0.00878 0.4885 0.2531 0  54 0.2699 2.663 0.9233 0
 55 110 4.715  55 0.01174 0.5272 0.2165 0  55 0.2204 2.828 0.9115 0
 56 112 4.765  56 0.01323 0.5009 0.2788 0  56 0.1827 2.916 0.8738 0
 57 114 4.942  57 0.01831 0.4476 0.2592 0  57 0.1598 2.982 1.075 0
 58 116 4.781  58 0.02747 0.5478 0.2857 0  58 0.1334 2.693 1.093 0
